TSP,TSP Name,TSP FERC CID,Loc,Loc Name,Loc Loctr ID,Loc Loctr,Loc Cnty,Loc St Abbrev,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc Name,Up/Dn Loc,Update D/T
784158214,Northern Natural Gas Company,C000060,3206,NORA SPRINGS IA #1,SRV,18 - 96 N - 18 W,FLOYD,IA,MID 17,LDC,D,A,19871001,,Y,INTERSTATE POWER AND LIGHT COMPANY,6940522,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,64189,NORM THIESEN,SRV,24 - 13  - 12 ,SARPY,NE,MID 17,LDC,D,A,20040101,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,3928,NORTH BEND NE #1,SRV,6 - 17 N - 6 E,DODGE,NE,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,3929,NORTH BEND NE #1A,SRV,6 - 17 N - 6 E,DODGE,NE,MID 17,LDC,D,A,19811013,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,25071,NORTH BEND NE #3,SRV,6 - 17 N - 6 E,DODGE,NE,MID 17,LDC,D,A,19890927,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,3879,NORTH BRANCH MN #1,SRV,22 - 35 N - 21 W,CHISAGO,MN,MID 17,LDC,D,A,19871001,,Y,MINNESOTA ENERGY RESOURCES CORPORATION,780062605,N,,,,20230322 05:00
784158214,Northern Natural Gas Company,C000060,4042,NORTH FREEDOM WI #1,SRV,35 - 12 N - 5 W,SAUK,WI,MID 17,LDC,D,A,19871001,,Y,WISCONSIN POWER AND LIGHT COMPANY,7946452,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,55608,NORTH HUDSON WI,SRV,13 - 29 N - 19 W,ST CROIX,WI,MID 17,LDC,D,A,19910830,,Y,"MIDWEST NATURAL GAS, INC.",41200809,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,78540,NORTH MEMORIAL MEDICAL CENTER  (W)      ,SRV,26 - 31 N - 24 W,ANOKA,MN,MID 17,END,D,A,20050119,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,79304,NORTH STAR ETHANOL,SRV,18 - 108 N - 28 W,BLUE EARTH,MN,MID 17,END,D,A,20160831,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,79609,NORTHERN ENGRAVING SPARTA,SRV,15 - 17 N - 4 W,MONROE,WI,MID 17,END,D,A,20220927,,Y,WISCONSIN GAS LLC,7947047,N,,,,20221001 05:00
784158214,Northern Natural Gas Company,C000060,78001,NORTHERN ENGRAVING WEST SALEM,SRV,33 - 17 N - 6 W,LA CROSSE,WI,MID 17,END,D,A,19990701,,Y,WISCONSIN GAS LLC,7947047,N,,,,20220928 05:00
784158214,Northern Natural Gas Company,C000060,78541,NORTHERN FOOD & DAIRY                   ,SRV,22 - 128 N - 37 W,DOUGLAS,MN,MID 17,END,D,A,20050119,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,4119,NORTHFIELD MN #1,SRV,28 - 112 N - 20 W,DAKOTA,MN,MID 17,LDC,D,A,19871001,,Y,"NORTHERN STATES POWER COMPANY, A MINNESOTA CORPORATION",6962419,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,78588,NORTHLAND ALUMINUM   (W)                ,SRV,35 - 27 N - 24 W,DAKOTA,MN,MID 17,END,D,A,20050505,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78543,NORTHLAND ALUMINUM  (S)                 ,SRV,36 - 114 N - 21 W,DAKOTA,MN,MID 17,END,D,A,20050119,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,52641,NORTHROP MN #1,SRV,12 - 108 N - 31 W,MARTIN,MN,MID 17,LDC,D,A,19901012,,Y,MINNESOTA ENERGY RESOURCES CORPORATION,780062605,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,78544,NORTHWEST AIRLINES  (S)                 ,SRV,36 - 114 N - 21 W,DAKOTA,MN,MID 17,END,D,A,20050119,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78589,NORTHWEST AIRLINES  (W)                 ,SRV,35 - 27 N - 24 W,DAKOTA,MN,MID 17,END,D,A,20050505,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
