TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
006958581,,ANR Pipeline Company,C000623,11749   ,SOUTH GRAND HAVEN       ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  O,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11750   ,COOPERSVILLE            ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  Q,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11751   ,GRAND HAVEN             ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  Q,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11778   ,GREAT LAKES/MUTT D      ,19000101,,A,INT,B,ML-7,ST CLAIR,MI,Y,N,GREAT LAKES GAS TRANSMISSION COMPANY,824900229,,,,,MI 7  T,Zone 7,,T,,N,Northern,20250915 22:50
006958581,,ANR Pipeline Company,C000623,11783   ,WHITE PIGEON            ,19000101,,A,LDC,B,ML-7,ST JOSEPH,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  I,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11784   ,CONSTANTINE             ,19000101,,A,LDC,B,ML-7,ST JOSEPH,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  I,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11785   ,THREE RIVERS            ,19000101,,A,LDC,B,ML-7,ST JOSEPH,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  I,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11795   ,SOUTH HAVEN             ,19000101,,A,LDC,B,ML-7,VAN BUREN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  L,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11803   ,MILAN MI                ,19000101,,A,LDC,B,ML-7,WASHTENAW,MI,Y,Y,DTE Gas Company,006958540,,C000428,,,MI 7  A,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,1181282 ,TROY PLANT - MAUMEE     ,19000101,,A,LDC,B,ML-7,LUCAS,OH,Y,Y,The East Ohio Gas Company,007900475,,C001002,,,MI 7  B,Zone 7,,T,,N,Northern,20251023 12:14
006958581,,ANR Pipeline Company,C000623,120740  ,S. WOODSTOCK/NGPL (REC) ,19000101,,A,INT,R,ML-7,ADAMS,IL,Y,Y,Natural Gas Pipeline Company of America LLC,006931794,,C002096,,,WI 7  A,Zone 7,,T,,N,Northern,20251020 08:13
006958581,,ANR Pipeline Company,C000623,1213536 ,HAYNESVILLE             ,19000101,,A,INT,R,ML-2,RAPIDES,LA,Y,Y,Acadian Gas Pipeline System,109006858,,C000932,,,ME 2  A,Zone 2,,T,,N,,20251020 11:21
006958581,,ANR Pipeline Company,C000623,1250765 ,GRAND CHENIER/ANR       ,19000101,,A,IND,B,SE-1,CAMERON,LA,Y,N,"KINETICA DEEPWATER EXPRESS, LLC",008017117,,,,,SE 1  F,Zone 1,,T,,N,,20251020 11:21
006958581,,ANR Pipeline Company,C000623,1250766 ,PATTERSON/ANR           ,,20250925,I,VIR,B,SE-1,ST MARY,LA,N,N,,,,,,,SE 2  B,Zone 1,,T,,N,,20250925 11:35
006958581,,ANR Pipeline Company,C000623,1260985 ,ANRSCO - RAPID RIVER    ,19000101,,A,STR,R,ML-7,KALKASKA,MI,N,N,,,,,,,MI 7  T,Zone 7,,T,,N,Northern,20250915 22:50
006958581,,ANR Pipeline Company,C000623,1260988 ,SOUTH CHESTER REC       ,19000101,,A,STR,R,ML-7,CRAWFORD,MI,Y,N,GREAT LAKES GAS TRANSMISSION COMPANY,824900229,,,,,MI 7  T,Zone 7,,T,,N,Northern,20250915 22:50
