LOCATION NAME,LOCATION OPERATOR,LOCATION,POOLING AREA,LOCATION TYPE,STATE,COUNTY,METER CAPACITY,
ACME BRICK-OUACHITA    ,ENABLE GAS TRANSMISSION  ,012175,NORTH,MQ,AR,HOT SPRING                    ,000000001,
URSULA-EWING FIELD CTP ,ENABLE MIDSTREAM PARTNERS,012181,NORTH,M2,AR,SEBASTIAN                     ,000004000,
N. SPADRA CTP          ,ENABLE MIDSTREAM PARTNERS,012182,NORTH,M2,AR,JOHNSON                       ,000020000,
BROCK #2-13            ,MMGK EAST TEXAS LLC      ,012205,NORTH,M2,AR,JOHNSON                       ,000000500,
MADDEN CONT_ACCT@SPORT ,ENABLE GAS TRANSMISSION  ,012206,SOUTH,MQ,LA,CADDO                         ,000000150,
TYSON EMMETT SANDERS PB,ENABLE GAS TRANSMISSION  ,012208,NORTH,MQ,AR,JEFFERSON                     ,000000001,
BUSTER CONCRETE        ,ENABLE GAS TRANSMISSION  ,012209,SOUTH,MQ,TX,TITUS                         ,000000001,
OZARK SUMMARY CTP      ,ENABLE MIDSTREAM PARTNERS,012234,NORTH,M2,AR,FRANKLIN                      ,000005000,
MRT @ AM145 PINE BLUFF ,ENABLE MISSISSIPPI RIVER ,012257,NORTH,M2,AR,JEFFERSON                     ,000015000,
EOIT NEUTRAL IC        ,ENOGEX INC               ,012261,NEUT ,M2,OK,LATIMER                       ,000576000,
HOLLYWOOD MARINE       ,ENABLE GAS TRANSMISSION  ,012283,SOUTH,MQ,LA,CADDO                         ,000000001,
THORN APPLE VALLEY     ,THORN APPLE VALLEY  INC. ,012294,NORTH,MQ,AR,ST. FRANCIS                   ,000000001,
MCCLELLAN VA HO AC     ,ENABLE GAS TRANSMISSION  ,012296,NORTH,MQ,AR,PULASKI                       ,000001290,
VETERANS HOSPITAL NO LR,ENABLE GAS TRANSMISSION  ,012297,NORTH,MQ,AR,PULASKI                       ,000000001,
CERC-ALSCO_ACCT        ,ENABLE GAS TRANSMISSION  ,012309,SOUTH,MQ,LA,CADDO                         ,000000440,
WASKOM PLANT F-185 DEL ,ENABLE GAS TRANSMISSION  ,012323,SOUTH,MQ,TX,HARRISON                      ,000150000,
DUKE @ WEST 2 SUM IC   ,DCP MIDSTREAM MARKETING L,012354,WEST2,M2,OK,CADDO                         ,000032300,
SCISSORTAIL ENERGY LLC ,SCISSORTAIL ENERGY  LLC  ,012355,NEUT ,M2,OK,PITTSBURG                     ,000398956,
SWEPCO WILKES PLANT SUM,SOUTHWESTERN ELECTRIC POW,012358,SOUTH,MQ,TX,MARION                        ,000226000,
GP ACCT @ GURDON AR TB ,ENABLE GAS TRANSMISSION  ,012386,SOUTH,MQ,AR,CLARK                         ,000004350,
RANDALL FOODS          ,ENABLE GAS TRANSMISSION  ,012387,SOUTH,MQ,LA,BIENVILLE                     ,000000001,
RANDALL FEED MILL      ,ENABLE GAS TRANSMISSION  ,012397,SOUTH,MQ,LA,LINCOLN                       ,000000001,
MID SOUTH MINERALS INC ,ENABLE GAS TRANSMISSION  ,012398,NEUT ,MQ,OK,PITTSBURG                     ,000000001,
PECO FOODS ACCT #2     ,ENABLE GAS TRANSMISSION  ,012399,NORTH,MQ,AR,INDEPENDENCE                  ,000000770,
NIDEC MOTR COR ACC     ,ENABLE GAS TRANSMISSION  ,012415,NORTH,MQ,AR,GREENE                        ,000002450,
SHEARER FD LLC ACC     ,ENABLE GAS TRANSMISSION  ,012423,NORTH,MQ,AR,JACKSON                       ,000002100,
FLEX N GATE ACCT-ADA_TB,ENABLE GAS TRANSMISSION  ,012426,WEST2,MQ,OK,PONTOTOC                      ,000001470,
REGI MED MAIN ACCT     ,ENABLE GAS TRANSMISSION  ,012449,NORTH,MQ,AR,CRAIGHEAD                     ,000001050,
STMAR REG MD CT AC     ,ENABLE GAS TRANSMISSION  ,012450,NORTH,MQ,AR,POPE                          ,000000360,
WHT CTY MED S. ACC     ,ENABLE GAS TRANSMISSION  ,012451,NORTH,MQ,AR,WHITE                         ,000000420,
